img	stops sequence (lon, lat)
1005.png	(7.66441055541992, 45.045232252738835)	(7.667328798828123, 45.04377678950456)	(7.670762026367186, 45.04280646010946)	(7.673851931152342, 45.04219999588003)	(7.676255190429686, 45.04110834406641)	(7.6760835290527325, 45.04001667142337)	(7.677800142822264, 45.04147223031867)	(7.68089004760742, 45.04001667142337)	(7.681405031738279, 45.03783326364904)	(7.680718386230467, 45.03601369352498)	(7.679516756591795, 45.03358751002255)	(7.678486788330076, 45.03116122365876)	(7.677285158691404, 45.028734834433614)	(7.676255190429686, 45.026308342347086)	(7.6760835290527325, 45.02448840577941)	(7.676598513183592, 45.02703630077348)	(7.677800142822264, 45.02946276200161)	(7.6788301110839825, 45.03188912036834)	(7.679860079345701, 45.03431537587372)	(7.681061708984373, 45.036741528517744)	(7.681233370361326, 45.037469354252984)	(7.682434999999998, 45.039895373177266)	(7.683979952392576, 45.04219999588003)	(7.6856965661621075, 45.04389807952176)	(7.686554873046873, 45.046323825863546)	(7.686898195800779, 45.04717281278219)	(7.6856965661621075, 45.04474710244186)	(7.684151613769529, 45.04244258234327)	(7.682606661376951, 45.040137969412314)	(7.680031740722654, 45.0406231587966)	(7.677971804199217, 45.041350935158405)	(7.677285158691404, 45.04329162686424)	(7.67814346557617, 45.0458386848241)	(7.679860079345701, 45.04814306811717)	(7.680546724853514, 45.04911330699433)	(7.678658449707029, 45.04680896278856)	(7.677628481445311, 45.04438323701902)	(7.676770174560545, 45.041836114256526)	(7.6733369470214825, 45.04232128924023)	(7.670418703613279, 45.042927752183886)	(7.66715713745117, 45.04389807952176)
1006.png	(7.563308878173814, 45.01368742073029)	(7.566570444335923, 45.01465824388549)	(7.56914536499022, 45.01562905058286)	(7.572406931152329, 45.01672118844516)	(7.575668497314439, 45.017934650529234)	(7.578930063476548, 45.019026744418284)	(7.582019968261704, 45.01987613637582)	(7.585281534423814, 45.018662715436314)	(7.587513132324204, 45.01659984082241)	(7.588199777832017, 45.014172834365134)	(7.589058084716783, 45.015022298325654)	(7.587513132324204, 45.016478492942504)	(7.585281534423814, 45.018662715436314)	(7.582019968261704, 45.01987613637582)	(7.582706613769517, 45.021817556391134)	(7.586139841308579, 45.02254557192473)	(7.588714761962876, 45.02339491168012)	(7.591633005371079, 45.022909576219966)	(7.593521280517564, 45.02072551573285)	(7.596439523925767, 45.01926942912049)	(7.600044412841783, 45.01878405868745)	(7.597469492187486, 45.01914808689797)	(7.594036264648423, 45.020118817477886)	(7.594894571533189, 45.02157488248936)	(7.592834635009751, 45.021696219568824)	(7.590431375732408, 45.023758910575125)	(7.592319650878892, 45.02521488301134)	(7.594379587402329, 45.02460823232978)	(7.594036264648423, 45.02606418316509)	(7.59386460327147, 45.02594285534315)	(7.591976328124986, 45.02509355338934)	(7.589401407470689, 45.02509355338934)	(7.588199777832017, 45.0263068380375)	(7.589744730224595, 45.024001575219366)	(7.586654825439439, 45.02254557192473)	(7.583049936523423, 45.021817556391134)	(7.581676645507798, 45.020968193234765)	(7.579273386230454, 45.01926942912049)	(7.576183481445298, 45.0181773398602)	(7.572921915283189, 45.017206576364636)	(7.570346994628892, 45.01611444775986)	(7.567085428466783, 45.0147795956227)
1009.png	(7.616790523681658, 45.07451907393714)	(7.619193782959002, 45.07367049298639)	(7.618335476074236, 45.07112467453121)	(7.619708767089861, 45.06882121725848)	(7.618335476074236, 45.07039727700037)	(7.619022121582049, 45.07294312785678)	(7.620567073974627, 45.07464029875865)	(7.6243436242675955, 45.07464029875865)	(7.627433529052752, 45.07318558392859)	(7.630695095214861, 45.07209452350512)	(7.633785000000017, 45.070760976922976)	(7.637046566162127, 45.069548634847244)	(7.6353299523925955, 45.07015480909953)	(7.632068386230486, 45.07136713831761)	(7.628806820068377, 45.072700670756355)	(7.625545253906267, 45.07391294597237)	(7.626403560791033, 45.07488274763018)	(7.630180111084002, 45.07500397168022)	(7.6339566613769705, 45.07524641900883)	(7.637733211669939, 45.07536764228742)	(7.641509761962908, 45.07548886530885)	(7.644599666748064, 45.07500397168022)	(7.647861232910174, 45.073791719607954)	(7.647174587402361, 45.07415539792974)	(7.644084682617205, 45.07548886530885)	(7.647517910156267, 45.075731310580245)	(7.6476895715332205, 45.075731310580245)	(7.643913021240252, 45.07561008807312)	(7.644771328125017, 45.077670835721456)	(7.646487941894549, 45.0799739363234)	(7.648032894287127, 45.08227694409326)	(7.649406185302752, 45.08457985903106)	(7.6490628625488455, 45.083731427485965)	(7.647346248779314, 45.08142847834687)	(7.645801296386736, 45.079125436375726)	(7.644084682617205, 45.076822301572484)	(7.642539730224627, 45.074761523322984)	(7.6408231164550955, 45.072458212627325)	(7.639278164062517, 45.07015480909953)	(7.6408231164550955, 45.072215753469685)	(7.642539730224627, 45.07451907393714)	(7.6421964074707205, 45.075852532830226)	(7.638763179931658, 45.07536764228742)	(7.634986629638689, 45.07524641900883)	(7.6312100793457205, 45.0751251954731)	(7.62897848144533, 45.07536764228742)	(7.625545253906267, 45.07488274763018)	(7.621940364990252, 45.07464029875865)	(7.619537105712908, 45.07524641900883)	(7.62073873535158, 45.077670835721456)	(7.622455349121111, 45.0799739363234)	(7.623828640136736, 45.08179210806681)	(7.624858608398455, 45.08421624705464)	(7.625888576660174, 45.08676148228775)	(7.622798671875017, 45.08809465548435)	(7.619880428466814, 45.08967018369186)	(7.619193782959002, 45.090154952858676)	(7.622112026367205, 45.088458242774145)	(7.625201931152361, 45.087125078063565)	(7.628120174560564, 45.08627668431987)	(7.6270902062988455, 45.087731065880206)	(7.629665126953142, 45.0891854104106)	(7.631038417968767, 45.09148804685237)	(7.63172506347658, 45.09282110973065)	(7.630351772460955, 45.0905185270337)	(7.628806820068377, 45.08821585150477)	(7.625888576660174, 45.08676148228775)	(7.624858608398455, 45.08433745130393)	(7.623828640136736, 45.081913317459154)	(7.622112026367205, 45.079610295031586)	(7.620567073974627, 45.07730717977196)	(7.619537105712908, 45.07488274763018)
1018.png	(-76.3482250476074, 39.53387521338808)	(-76.34616511108396, 39.53175688413473)	(-76.34341852905271, 39.53096249400079)	(-76.34118693115232, 39.52884407587361)	(-76.33964197875974, 39.526460778222244)	(-76.33809702636717, 39.52407739876926)	(-76.33638041259763, 39.52182635417601)	(-76.33535044433592, 39.51997249796104)	(-76.3368953967285, 39.52235601829152)	(-76.33844034912107, 39.524607045716905)	(-76.33964197875974, 39.52685800017817)	(-76.33672373535154, 39.52818205695372)	(-76.33706705810545, 39.5280496524123)	(-76.33998530151365, 39.52699040699187)	(-76.34170191528318, 39.529241284195805)	(-76.33998530151365, 39.530565295525314)	(-76.33775370361326, 39.53083009476145)	(-76.34084360839842, 39.5301680947775)	(-76.34341852905271, 39.53096249400079)	(-76.3456501269531, 39.53294845229302)	(-76.34616511108396, 39.53347803157654)	(-76.34479182006834, 39.53135969020393)	(-76.34702341796873, 39.532551265179286)
1020.png	(5.746249759277333, 58.97073829962442)	(5.750369632324208, 58.96914549176009)	(5.754489505371083, 58.96772960075365)	(5.757407748779286, 58.965871155544534)	(5.759296023925771, 58.96551715462117)	(5.755176150878896, 58.96534015279629)	(5.754146182617177, 58.96445513003991)	(5.756892764648427, 58.96622515283276)	(5.7536311984863175, 58.968083578957746)	(5.749682986816396, 58.968349060225336)	(5.749854648193349, 58.96932247404657)	(5.748653018554677, 58.971446190604325)
1028.png	(-80.21677121704101, 43.50195926947741)	(-80.21385297363281, 43.500340556384316)	(-80.21179303710937, 43.49809918968481)	(-80.20921811645508, 43.49610679388001)	(-80.20664319580078, 43.49448792388194)	(-80.20320996826172, 43.49361620667629)	(-80.19977674072265, 43.492993543825456)	(-80.19685849731445, 43.494612453884116)	(-80.19462689941406, 43.49623132054382)	(-80.19205197875976, 43.49822371223981)	(-80.19067868774414, 43.499219883434996)	(-80.18810376708984, 43.49959344339598)	(-80.18552884643555, 43.49772562047901)	(-80.18381223266601, 43.49648037310101)	(-80.18655881469726, 43.49847275657941)	(-80.18896207397461, 43.50046507431691)	(-80.18638715332031, 43.50245732631325)	(-80.18501386230469, 43.50332891588908)	(-80.18776044433594, 43.50220829840894)	(-80.18758878295898, 43.5015857241541)	(-80.18947705810547, 43.50071410941167)	(-80.19222364013672, 43.502706353190355)	(-80.1937685925293, 43.504947548859825)	(-80.191193671875, 43.505694595593134)	(-80.19342526977539, 43.504947548859825)	(-80.19462689941406, 43.506068115492944)	(-80.19565686767578, 43.50855818909336)	(-80.19634351318359, 43.50818468460182)	(-80.19617185180664, 43.50992768578833)	(-80.19514188354492, 43.50743766868499)	(-80.19428357666015, 43.504947548859825)	(-80.19634351318359, 43.50382696142561)	(-80.19445523803711, 43.50469853122762)	(-80.19222364013672, 43.502706353190355)	(-80.18947705810547, 43.50071410941167)	(-80.19136533325195, 43.499095362934405)	(-80.19359693115234, 43.49710300000001)	(-80.19617185180664, 43.49511057132487)	(-80.19874677246094, 43.493242609736185)	(-80.20218, 43.493367142306354)	(-80.20492658203125, 43.4941143323346)	(-80.20818814819336, 43.493989801305226)	(-80.20835980957031, 43.49212180504879)	(-80.20681485717773, 43.49087644211148)	(-80.20784482543945, 43.49162366295543)	(-80.2102480847168, 43.49249540892244)	(-80.21299466674805, 43.49062736644245)	(-80.21522626464844, 43.488510181783106)	(-80.21471128051758, 43.48589473356597)	(-80.21488294189453, 43.48614382875147)	(-80.21333798950195, 43.48614382875147)	(-80.21522626464844, 43.48763837829369)	(-80.21368131225586, 43.49000467277594)	(-80.21110639160156, 43.4918727345157)	(-80.20990476196289, 43.49311807690922)	(-80.2076731640625, 43.49473698362951)	(-80.21007642333984, 43.49672942463101)	(-80.21247968261719, 43.4988463211628)	(-80.21471128051758, 43.50083862657385)
1035.png	(-78.95927592602538, 36.023019196575824)	(-78.9573876508789, 36.02385221070658)	(-78.9544694074707, 36.02288036003116)	(-78.95172282543945, 36.02163082012079)	(-78.94880458203124, 36.020520101343564)	(-78.946058, 36.01927052400542)	(-78.94313975659179, 36.018159771959496)	(-78.94022151318359, 36.01718785107687)	(-78.93730326977538, 36.016215918208104)	(-78.935071671875, 36.01454971969017)	(-78.93335505810546, 36.012328066874204)	(-78.93163844433593, 36.01010635144019)	(-78.9302651533203, 36.00885660899146)	(-78.93232508984374, 36.010939502065895)	(-78.93404170361327, 36.01316119401832)	(-78.9354149946289, 36.015243973353314)	(-78.93627330151367, 36.01413316455698)	(-78.93713160839843, 36.01163378752754)	(-78.93730326977538, 36.00968977282529)	(-78.93695994702148, 36.012328066874204)	(-78.93627330151367, 36.01482742188926)	(-78.93644496289062, 36.01732669765109)	(-78.93627330151367, 36.02010357776578)	(-78.93627330151367, 36.02288036003116)	(-78.935071671875, 36.02482404939493)	(-78.93163844433593, 36.02482404939493)	(-78.93472834912109, 36.02482404939493)	(-78.93627330151367, 36.02315803287586)	(-78.93781825390624, 36.02190849736883)	(-78.94107982006835, 36.02218617363836)	(-78.94451304760742, 36.022325011406174)	(-78.94107982006835, 36.02218617363836)	(-78.93781825390624, 36.02190849736883)	(-78.93627330151367, 36.020242419203)	(-78.93644496289062, 36.017465543980705)	(-78.93781825390624, 36.016354766494615)	(-78.94073649731445, 36.01732669765109)	(-78.94365474072265, 36.018298616821404)	(-78.94657298413085, 36.01940936691036)	(-78.9493195661621, 36.02065894204691)	(-78.95206614819335, 36.02190849736883)	(-78.95498439160156, 36.02315803287586)	(-78.95755931225585, 36.023991045538814)
1041.png	(-78.94483142871096, 36.008538161840164)	(-78.94156986254885, 36.0089547465405)	(-78.93847995776369, 36.0083992997842)	(-78.93521839160158, 36.008121574938514)	(-78.93195682543947, 36.007704985835545)	(-78.92903858203127, 36.00645520531888)	(-78.92594867724611, 36.0057608742491)	(-78.92285877246096, 36.0057608742491)	(-78.92131382006838, 36.006594070799075)	(-78.91856723803713, 36.00534427267223)	(-78.91582065600588, 36.003955584851546)	(-78.91324573535158, 36.00242799999998)	(-78.91273075122072, 36.00284461698533)	(-78.91393238085939, 36.00298348882462)	(-78.91667896289064, 36.004372193765846)	(-78.91942554492189, 36.0057608742491)	(-78.9223437883301, 36.00673293603469)	(-78.92217212695314, 36.00951018938333)	(-78.92337375659181, 36.01048220494138)	(-78.92663532275392, 36.01048220494138)	(-78.92955356616213, 36.01131535159473)	(-78.92869525927736, 36.010621063328436)	(-78.9256053544922, 36.010621063328436)	(-78.9223437883301, 36.010204487433484)	(-78.9223437883301, 36.00756612231204)	(-78.92457538623049, 36.00687180102572)	(-78.92766529101564, 36.00756612231204)	(-78.93041187304689, 36.0089547465405)	(-78.93247180957033, 36.011037637022)	(-78.93401676196291, 36.01325932620856)	(-78.93573337573244, 36.015480952776414)	(-78.9365916826172, 36.01339817970361)	(-78.93727832812502, 36.010898779368745)	(-78.93727832812502, 36.00992676894721)	(-78.93693500537111, 36.01256505506431)	(-78.9362483598633, 36.01506440256479)	(-78.93710666674806, 36.01603634963401)	(-78.94002491015627, 36.017008284717235)	(-78.93710666674806, 36.01603634963401)	(-78.93487506884767, 36.01437014731992)	(-78.93315845507814, 36.01214848944253)	(-78.93144184130861, 36.00992676894721)	(-78.92903858203127, 36.008121574938514)	(-78.92612033862306, 36.00714953027401)	(-78.92303043383791, 36.006594070799075)	(-78.92423206347658, 36.005483140109106)	(-78.92732196826174, 36.006038607410765)	(-78.92972522753908, 36.00714953027401)	(-78.93230014819338, 36.007704985835545)	(-78.933673439209, 36.0089547465405)	(-78.93539005297853, 36.008121574938514)	(-78.93865161914064, 36.0083992997842)	(-78.9417415239258, 36.0089547465405)
1046.png	(-123.96797759008788, 49.15538709665568)	(-123.96402937841796, 49.1552748282998)	(-123.95973784399413, 49.1552748282998)	(-123.9554463095703, 49.1552748282998)	(-123.95132643652343, 49.1552748282998)	(-123.94720656347656, 49.15516255968947)	(-123.94291502905273, 49.15516255968947)	(-123.93879515600585, 49.15516255968947)	(-123.93622023535156, 49.15437667229245)	(-123.93398863745117, 49.15336622731841)	(-123.93398863745117, 49.1540398595912)	(-123.93416029882812, 49.15673429707891)	(-123.93416029882812, 49.15639750040821)	(-123.93398863745117, 49.153703044599844)	(-123.93622023535156, 49.1540398595912)	(-123.938280171875, 49.15516255968947)	(-123.94240004492187, 49.15516255968947)	(-123.9466915793457, 49.15516255968947)	(-123.95081145239257, 49.1552748282998)	(-123.95493132543945, 49.1552748282998)	(-123.95922285986327, 49.1552748282998)	(-123.96128279638671, 49.156509766219564)	(-123.96076781225585, 49.15897954969333)	(-123.96128279638671, 49.159428588002655)	(-123.96128279638671, 49.16223498519893)	(-123.9580212302246, 49.16290849686263)	(-123.95390135717773, 49.16279624555479)	(-123.9499531455078, 49.16313299871499)	(-123.94892317724609, 49.16369424889313)	(-123.95184142065429, 49.16279624555479)	(-123.95613295507812, 49.16279624555479)	(-123.960252828125, 49.16290849686263)	(-123.96111113500976, 49.1642554927102)	(-123.96111113500976, 49.165490206716946)	(-123.96162611914062, 49.16290849686263)	(-123.96591765356445, 49.16290849686263)	(-123.96368605566406, 49.16290849686263)	(-123.96128279638671, 49.16167371848196)	(-123.96128279638671, 49.158867289479886)	(-123.96128279638671, 49.15606070144744)	(-123.96437270117187, 49.1552748282998)
1064.png	(-75.22030558203123, 43.10169805217175)	(-75.21687235449217, 43.100820685585965)	(-75.21361078833006, 43.09981796552118)	(-75.21034922216795, 43.09868988581932)	(-75.20708765600584, 43.097687130858596)	(-75.20382608984373, 43.0965590118989)	(-75.20399775122068, 43.09668435947633)	(-75.20725931738279, 43.097687130858596)	(-75.2105208835449, 43.09881522903476)	(-75.21378244970701, 43.09981796552118)	(-75.21704401586912, 43.100946024439416)
