img,buses,my_route_avg,my_route_buses,my_route_duration,gtfs_route_avg,gtfs_route_buses,gtfs_route_duration,no_bus_equal_trips,total_trips
1005.png,3,1752.8198346694792,28,2761.9896624472563,1638.1106935654007,26,1499.874683544304,65,100
1006.png,3,1962.8378771097048,15,3682.8213080168766,1673.176273839662,45,3643.0491561181443,46,100
1009.png,3,1688.603320499296,26,4492.9580168776365,1631.1315405414907,32,1990.6529535864975,61,100
1018.png,3,2181.745430590717,27,1597.625105485232,2238.018526160338,15,4685.948734177215,63,100
1020.png,3,1344.013846378341,8,1084.8400843881857,1311.3005344585094,17,1486.651476793249,77,100
1028.png,3,1494.9436886075955,42,4280.009282700421,1338.524708122363,56,2088.514556962025,44,100
1035.png,3,2333.3667587552745,31,3470.155063291139,2404.835385232068,24,2411.3054852320674,56,100
1041.png,3,2045.5852516174398,10,5639.624261603373,2050.4353722925443,16,1745.6413502109708,75,100
1046.png,3,1697.634184142054,41,2289.702742616033,1750.1939280239103,29,4476.655907172997,44,100
1064.png,3,1738.2291497890299,23,673.9829113924051,1534.4296731364282,44,2386.645991561182,50,100
1070.png,3,1377.3052210970463,56,1098.4664556962025,1447.3695680731357,61,997.4394514767932,36,100
1084.png,3,2122.515231504922,32,738.5786919831223,2058.6724426160335,37,594.4860759493671,48,100
1095.png,3,1715.340823734177,13,673.9829113924051,1506.7740600562583,44,2386.645991561182,51,100
110.png,3,2091.200293248945,15,1393.8862869198313,2115.241596694796,4,4397.117510548524,81,100
1106.png,3,1624.4408395569624,7,572.007594936709,1629.9474158931084,5,2469.2280590717296,88,100
1125.png,3,1750.512901687764,44,4223.838607594936,1671.9163929676515,53,2402.3016877637124,42,100
1134.png,3,2441.4571780590722,27,3714.9335443037967,2090.934284212377,58,2240.9672995780593,39,100
1138.png,3,1600.8231219760905,34,1561.4894514767932,1499.0199766877638,41,1633.9183544303798,45,100
1139.png,3,1771.8611066455703,29,2013.86582278481,1691.43759616737,28,3184.1529535864975,61,100
1145.png,3,1683.7855081575242,11,1352.400421940928,1633.8624178973268,37,1464.5301687763715,61,100
115.png,3,1857.8990241912802,31,1904.604641350211,1908.9810239099859,17,1317.0350210970464,62,100
1163.png,3,1758.0959633614627,25,3891.3099156118137,1669.6536329113922,45,932.660970464135,50,100
1164.png,3,1628.8703805203934,19,4418.155274261604,1647.4205393811528,29,999.0649789029535,66,100
1173.png,3,1749.6018512658231,33,487.37088607594933,1694.1778572784813,32,2751.4949367088607,53,100
1189.png,3,1499.939967616034,14,830.3968354430377,1468.5310805203937,23,3714.4491561181435,66,100
119.png,3,1878.6304700421947,12,1453.3246835443038,1857.9425496835454,21,1078.6567510548523,73,100
1205.png,3,1964.0377179676518,2,2457.0858649789025,1928.5153677215194,18,1317.1691983122362,82,100
1207.png,3,2179.640600949367,33,923.5227848101266,2017.3700266526014,16,2617.252953586498,62,100
1214.png,3,1760.0364373066095,28,1328.4947257383965,1636.7944248593528,49,2459.010548523207,46,100
1218.png,3,1658.6952719057674,8,1078.576793248945,1620.8562071729964,17,1763.8050632911395,79,100
122.png,3,1765.4880573839669,30,1822.3736286919832,1685.3042252812945,37,1571.6339662447258,53,100
1234.png,3,1504.4052967651194,14,3280.363713080169,1479.8774587904363,16,2375.1078059071724,79,100
1235.png,3,1808.7974809071734,20,5220.049999999998,1728.1795122362869,18,1212.897046413502,76,100
1246.png,3,1686.3946485583683,20,1108.1194092827004,1705.960109177215,11,5473.033544303796,74,100
1259.png,3,2205.473831926864,10,1431.3808016877636,2097.3466097046417,33,3674.9284810126583,60,100
1262.png,3,2980.7992978551333,40,2854.013713080169,2846.9725774964836,44,4190.938818565401,40,100
127.png,3,2019.1828752812946,5,657.8672995780591,1924.1119064345999,27,1673.3459915611816,68,100
1272.png,3,1939.2267703586504,12,2317.2696202531647,1870.7702807313647,22,1798.666033755274,72,100
130.png,3,1860.127004606189,35,793.1698312236288,1873.5737107594937,21,1105.392194092827,60,100
1307.png,3,1685.6992399789028,5,2630.177848101266,1652.1228539381152,22,1082.1217299578059,75,100
1314.png,3,2673.3649494374117,10,7689.385864978903,2620.736302707454,17,5074.083122362869,78,100
132.png,3,1769.408197538678,8,1357.8881856540086,1693.828882981716,29,1382.3052742616035,65,100
1322.png,3,1585.378985232067,19,5382.138607594936,1530.5315774261605,19,2421.0594936708862,73,100
1325.png,3,1627.671481012659,12,3798.5938818565382,1543.4395450421941,39,2841.083122362869,58,100
1339.png,3,1927.6043960618852,22,801.3156118143459,1877.3114799578057,18,3026.468987341771,64,100
1345.png,3,2047.8231491912798,46,1134.8609704641349,1874.159226687764,45,3261.4898734177204,40,100
1355.png,3,2209.615879008439,21,707.1915611814346,2037.6500002812945,40,2337.3586497890287,46,100
1361.png,3,2189.584298206752,30,6974.563713080168,1996.4385376230657,59,1219.0913502109704,37,100
1380.png,3,2443.9280607594937,14,6454.75759493671,2313.20930017581,28,4304.933333333333,63,100
1389.png,3,1698.5113651898732,36,1710.7810126582274,1643.017171272855,38,1206.5527426160336,47,100
1390.png,3,2065.735723101267,38,1550.9772151898735,2194.539257313643,16,5500.233122362869,62,100
1393.png,3,2214.475655379747,15,4406.840084388185,2077.8284886075962,37,2956.5481012658233,57,100
1394.png,3,2086.9522175808715,19,4222.761814345991,1973.863113677918,40,3144.7092827004217,57,100
1397.png,3,2338.695099472575,5,9211.051265822785,2326.0211538677927,10,6063.589029535865,89,100
1398.png,3,2647.497111779184,19,7492.483333333328,2701.500814135022,6,4597.957805907174,79,100
1403.png,3,2384.005768248944,1,9045.713924050639,2139.0283400843878,29,4152.164556962025,71,100
1404.png,3,2293.13621107595,6,8199.090295358648,2113.332350632913,27,4299.884599156118,73,100
1409.png,3,2410.75584033052,47,6530.150421940929,2244.125559634318,49,3694.364135021097,47,100
142.png,3,1592.2931410337553,43,2392.549367088607,1625.3910703234887,38,2415.34135021097,45,100
1422.png,3,2163.739080977496,49,5174.591561181433,2162.820645253164,37,2765.8518987341768,43,100
1436.png,3,1880.083339732771,22,5799.1472573839665,1845.9516946554143,23,3218.8232067510544,69,100
1455.png,3,1900.918052004219,40,1264.3537974683543,1870.1199901195496,38,2524.9364978902954,42,100
1458.png,3,1890.119337974684,26,2486.650632911392,1736.8838602672301,43,1755.0704641350205,48,100
1465.png,3,1897.9123105133615,25,1493.5073839662446,1802.443377566807,29,3276.764978902954,50,100
1468.png,3,2104.2078488045004,26,4638.233122362869,1957.2598655766528,44,4180.8767932489445,56,100
1469.png,3,2256.6562546413506,2,6537.774050632912,2059.4863395569623,39,2105.317721518987,60,100
