img,buses,my_route_avg,my_route_buses,my_route_duration,gtfs_route_avg,gtfs_route_buses,gtfs_route_duration,no_bus_equal_trips,total_trips
1005.png,5,1695.0081362869191,42,2761.9896624472563,1661.4085656118136,33,1499.874683544304,52,100
1006.png,5,1844.2817728902946,33,3682.8213080168766,1501.7883488396617,61,3643.0491561181443,34,100
1009.png,5,1533.8519779535866,47,4492.9580168776365,1491.7910821729959,43,1990.6529535864975,42,100
1018.png,5,2016.8061822784812,34,1597.625105485232,2028.8565073839663,25,4685.948734177215,51,100
1020.png,5,1449.2581391350216,7,1084.8400843881857,1386.7079995780598,31,1486.651476793249,64,100
1028.png,5,1333.3964809071738,51,4280.009282700421,1267.7786608649794,53,2088.514556962025,40,100
1035.png,5,2025.0007056962029,50,3470.155063291139,2169.351718881857,31,2411.3054852320674,39,100
1041.png,5,1938.7814112869198,27,5639.624261603373,2016.4374121308024,16,1745.6413502109708,64,100
1046.png,5,1605.1873004219406,44,2289.702742616033,1621.5598098101266,44,4476.655907172997,37,100
1064.png,5,1676.301419831223,16,673.9829113924051,1356.736193248945,61,2386.645991561182,33,100
1070.png,5,1226.9261006329111,38,1098.4664556962025,1233.6716062236285,53,997.4394514767932,45,100
1084.png,5,1982.0075804852331,40,738.5786919831223,1913.2821225738405,40,594.4860759493671,38,100
1095.png,5,1740.1470285864975,19,673.9829113924051,1455.5654901898736,55,2386.645991561182,37,100
110.png,5,1884.4305103375527,25,1393.8862869198313,1939.2193530590719,13,4397.117510548524,70,100
1106.png,5,1633.8654473628694,7,572.007594936709,1624.2121917721524,10,2469.2280590717296,84,100
1125.png,5,1597.7465291139233,51,4223.838607594936,1547.1831189873417,60,2402.3016877637124,33,100
1134.png,5,2286.5239224683537,29,3714.9335443037967,1954.8142621308016,70,2240.9672995780593,28,100
1138.png,5,1530.5868045358648,47,1561.4894514767932,1446.604551371308,49,1633.9183544303798,32,100
1139.png,5,1807.5841960970463,29,2013.86582278481,1697.5251061181434,36,3184.1529535864975,53,100
1145.png,5,1734.695977109704,16,1352.400421940928,1615.7991333333339,48,1464.5301687763715,50,100
115.png,5,1747.8067972573838,33,1904.604641350211,1845.0010187763705,21,1317.0350210970464,55,100
1163.png,5,1669.7321103375527,44,3891.3099156118137,1707.0187617088613,43,932.660970464135,41,100
1164.png,5,1479.0392382911396,33,4418.155274261604,1478.715034388185,40,999.0649789029535,51,100
1173.png,5,1736.9840685654003,31,487.37088607594933,1592.7809181434598,55,2751.4949367088607,36,100
1189.png,5,1521.6083928270039,14,830.3968354430377,1368.8475885021098,47,3714.4491561181435,48,100
119.png,5,1799.1247638185655,20,1453.3246835443038,1777.1710718354434,30,1078.6567510548523,57,100
1205.png,5,2062.8923306962015,2,2457.0858649789025,2023.3333648734165,19,1317.1691983122362,79,100
1207.png,5,1972.838091561181,32,923.5227848101266,1862.3609603375514,18,2617.252953586498,59,100
1214.png,5,1708.6350834388186,34,1328.4947257383965,1577.0547316455693,50,2459.010548523207,45,100
1218.png,5,1574.868865822785,18,1078.576793248945,1512.0906378691986,25,1763.8050632911395,68,100
122.png,5,1674.6837640295362,34,1822.3736286919832,1646.5197146624473,28,1571.6339662447258,54,100
1234.png,5,1446.8999900843885,32,3280.363713080169,1439.2374785864977,22,2375.1078059071724,68,100
1235.png,5,1653.6381521097042,40,5220.049999999998,1651.7438955696198,20,1212.897046413502,60,100
1246.png,5,1468.5449742616036,38,1108.1194092827004,1456.939712658228,29,5473.033544303796,41,100
1259.png,5,2421.521801054853,24,1431.3808016877636,2222.7888408227846,51,3674.9284810126583,34,100
1262.png,5,2908.8152549578062,60,2854.013713080169,2689.2963145569624,57,4190.938818565401,20,100
