img,avg_stop_distance
1.jpg,211.79439972629157
2.jpg,369.509697486327
3.jpg,188.85259953702146
4.jpg,242.93661812193614
5.jpg,355.68567415451395
6.jpg,355.68567415451315
7.jpg,299.53204907765587
8.jpg,382.11047712522833
9.jpg,259.078774353996
10.jpg,346.3222635596485
11.jpg,313.6463567895386
12.jpg,389.13256037129645
13.jpg,197.41717525019277
14.jpg,996.078105334164
15.jpg,179.899346333525
16.jpg,200.63619820401783
17.jpg,213.25106463532984
18.jpg,233.35967213395674
19.jpg,542.9456863334412
20.jpg,285.75033100670043
21.jpg,252.73859660343103
22.jpg,401.3672030488105
23.jpg,434.66475668241793
24.jpg,350.3661331394427
25.jpg,315.4839590573608
26.jpg,243.5207065204384
27.jpg,301.3284963303343
28.jpg,602.0184865633878
29.jpg,781.1261097288645
30.jpg,297.5525799502522
31.jpg,334.52332523961906
32.jpg,428.6797439428207
33.jpg,258.13259510738095
34.jpg,346.35576119951185
35.jpg,262.1037820933489
36.jpg,287.94287736757883
37.jpg,380.68399384953693
38.jpg,383.7371170845681
39.jpg,587.482483104782
40.jpg,299.11589423507525
41.jpg,467.68379014560685
42.jpg,286.8688600482341
43.jpg,289.1440649088896
44.jpg,456.81150460072473
45.jpg,456.5784730308873
46.jpg,355.57618004511676
47.jpg,355.57618004511437
48.jpg,410.253826665397
49.jpg,410.2507699836139
50.jpg,374.57436083173
51.jpg,416.5354009553742
52.jpg,3971.787723805484
53.jpg,396.50777989908903
54.jpg,399.4003485062847
55.jpg,416.04090200112256
56.jpg,363.4929833239204
57.jpg,373.2792575009786
58.jpg,481.3339318921547
59.jpg,473.25060277721235
60.jpg,387.74851540275927
61.jpg,505.3196380880777
62.jpg,485.04169079354136
63.jpg,623.3190460584616
64.jpg,430.02541282322227
65.jpg,608.1548431379109
66.jpg,349.28356046309483
67.jpg,457.1289110660718
68.jpg,371.88682439899725
69.jpg,507.23946123697885
70.jpg,653.7722469609407
71.jpg,439.1464182152646
72.jpg,373.41697959707056
73.jpg,383.4476747219381
74.jpg,481.64583876446716
75.jpg,519.4215461398771
76.jpg,438.5029108345423
77.jpg,491.9527458175308
78.jpg,520.389224527862
79.jpg,567.7546504621018
80.jpg,289.14497018796243
81.jpg,296.4574946860546
82.jpg,277.1155497445438
83.jpg,268.11376618675433
84.jpg,289.0531406405787
85.jpg,186.93818501287635
86.jpg,296.93844508873474
87.jpg,329.2836436892977
88.jpg,331.3263733067109
89.jpg,1212.2009295014025
90.jpg,316.2571019086383
91.jpg,541.4478084935638
92.jpg,317.5924748647081
93.jpg,322.20544331686733
94.jpg,286.46927294618723
95.jpg,257.63790993937425
96.jpg,253.0855204979458
97.jpg,272.71530607723867
98.jpg,268.50605503080334
99.jpg,324.0206659590438
100.jpg,330.6857352739313
101.jpg,198.5716042039446
102.jpg,237.44678634164094
103.jpg,194.31002415276586
104.jpg,268.28960053916046
105.jpg,194.6105722245908
106.jpg,266.6478205022588
107.jpg,179.12761524579713
108.jpg,165.23338292842027
109.jpg,211.9798887476054
110.jpg,185.67091646096856
111.jpg,231.9168892434079
112.jpg,235.36734256792082
113.jpg,238.77505131062293
114.jpg,217.82024556538653
115.jpg,170.48261482541267
116.jpg,252.48723213803828
117.jpg,201.9348064211488
118.jpg,275.16109119923686
119.jpg,192.77507894812533
120.jpg,190.614833377418
121.jpg,174.0796513574638
122.jpg,251.95396671710682
123.jpg,291.6912517080143
124.jpg,201.44038969733708
125.jpg,302.7284167989418
126.jpg,240.42162999937852
127.jpg,265.49875476618416
128.jpg,278.8931943976706
129.jpg,200.3493841995782
130.jpg,535.4613462110353
131.jpg,632.224723696205
132.jpg,256.9825301717936
133.jpg,280.92743851383113
134.jpg,253.89523648236005
135.jpg,322.5885216514368
136.jpg,267.92257419857987
